CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
12012027-101002155752,"6350 LAUTREC, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1023160000351,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-23 18:46:26,2016-04-26 18:46:26,2016-04-25 19:15:03,-0.98,Flooding-101002155752,3080835.0639,13881964.78217,29.87381863,-95.48970733,Voice In
12012029-101002155755,"6327 BEAU GESTE, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1023180000503,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-23 18:51:16,2016-04-26 18:51:16,2016-04-25 19:25:03,-0.98,Flooding-101002155755,3080390.45456,13882330.04096,29.87485929,-95.491075,Voice In
12012032-101002155761,"6331 FRENCH CHATEAU, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1020910000275,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-23 19:07:47,2016-04-26 19:07:46,2016-04-25 19:20:03,-0.99,Flooding-101002155761,3081753.24645,13881657.35497,29.87289781,-95.48684061,Voice In
12012056-101002155834,Intersection 9300 BEVERLYHILL ST&3114 WESTERLAND DR,Harris County,F,MID WEST,,SW,SW,MONDAY,1st Friday,MONDAY-A,490X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 07:45:53,2016-04-27 07:45:53,2016-04-26 07:30:04,-1.01,Flooding,,,29.73018067,-95.53141015,WEB
12012057-101002155839,"9410 BEVERLYHILL, HOUSTON TX 77063",HARRIS,F,MID WEST,0935590000021,SW,SW,MONDAY,1st Friday,MONDAY-A,490X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 07:52:09,2016-04-27 07:52:09,2016-04-26 07:30:04,-1.02,Flooding,,,29.7304197,-95.53059167,WEB
12012058-101002155842,"9409 FONDREN, HOUSTON TX 77074",HARRIS,J,BRAEBURN,1072250010005,,,,,,530V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:10:05,2016-04-27 08:10:05,2016-04-26 10:05:11,-0.92,Flooding-101002155842,3077085.59174,13810291.64829,29.67711487,-95.50828383,Voice In
12012059-101002155843,"6039 DARKWOOD, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1000970000033,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:10:40,2016-04-27 08:10:40,2016-04-25 19:30:03,-1.53,Flooding-101002155843,3084084.72801,13881789.31927,29.87306777,-95.47947493,Voice In
12012061-101002155849,"23403 GOOD DALE, UNINCORPORATED TX 77373",HARRIS,,,1082130000016,,,,,,334A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:16:30,2016-04-27 08:16:30,2016-04-27 08:05:05,-0.01,Flooding,,,30.05167922,-95.34798964,WEB
12012073-101002155856,"5827 KULDELL, HOUSTON TX 77074",HARRIS,C,BRAEBURN,0911140000013,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,531N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:47:23,2016-04-27 08:47:23,2016-04-25 19:55:03,-1.54,Flooding-101002155856,3081310.11906,13811737.83568,29.68074273,-95.49484929,Voice In
12012064-101002155858,"9327 GUYWOOD, HOUSTON TX 77040",HARRIS,A,GREATER INWOOD,1032830000012,NW,NW,FRIDAY,4th Monday,FRIDAY-A,410R,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:49:23,2016-04-27 08:49:22,2016-04-26 12:25:03,-0.85,Flooding-101002155858,3077323.82454,13882840.317820003,29.87651451,-95.50069878,Voice In
12012065-101002155862,"855 GREENS, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1088250000002,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 08:57:34,2016-04-27 08:57:34,2016-04-27 08:00:04,-0.04,Flooding-101002155862,3109893.49726,13910996.777260002,29.95118588,-95.39523933,Voice In
12012070-101002155871,"6359 FRENCH CHATEAU, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1020910000270,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 09:16:41,2016-04-27 09:16:41,2016-04-25 19:20:03,-1.58,Flooding-101002155871,3081474.87726,13881550.31187,29.87262657,-95.48772869,Voice In
12012078-101002155890,"9797 LEAWOOD, HOUSTON TX 77099",HARRIS,F,ALIEF,1158430030006,,,,,,529T,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 09:52:32,2016-04-27 09:52:31,2016-04-25 12:20:03,-1.9,Flooding-101002155890,3055727.88118,13807953.20841,29.67242323,-95.57573107,Voice In
12012086-101002155903,"6207 LOGWOOD, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1000480000010,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 10:30:27,2016-04-27 10:30:27,2016-04-25 19:30:03,-1.63,Flooding-101002155903,3082895.30093,13882593.6382,29.87537697,-95.48314991,Voice In
12012089-101002155914,"4923 HEATHERGLEN, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0911620000020,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 10:44:04,2016-04-27 10:44:04,2016-04-26 12:50:03,-0.91,Flooding-101002155914,3091912.20021,13810675.28991,29.67694412,-95.46157617,Voice In
12012096-101002155936,"7215 RIDGE OAK, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1000480000070,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 11:15:34,2016-04-27 11:15:33,2016-04-25 19:30:03,-1.66,Flooding-101002155936,3082334.58748,13882793.99049,29.87597402,-95.48489937,Voice In
12012101-101002155947,"9007 CARLOTA, HOUSTON TX 77074",HARRIS,C,BRAEBURN,0911130000017,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,531N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 11:32:11,2016-04-27 11:32:10,2016-04-26 10:45:05,-1.03,Flooding - 120983,3081546.09031,13811798.99501,29.68086247,-95.49415407,WAP
12012103-101002155949,"6430 TALL WILLOW, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1001760010077,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 11:39:17,2016-04-27 11:39:16,2016-04-25 19:25:03,-1.68,Flooding-101002155949,3081652.66791,13880082.475900002,29.86857728,-95.48730706,Voice In
12012107-101002155959,"9426 WILLOW MEADOW, HOUSTON TX 77031",HARRIS,J,BRAYS OAKS,1014920000001,SW,SW,THURSDAY,2nd Friday,THURSDAY-A,530W,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 11:52:08,2016-04-27 11:52:08,2016-04-26 10:15:04,-1.07,Flooding - 120993,3065902.12554,13805895.79137,29.66617731,-95.54402197,WAP
12012109-101002155963,"5150 BRAESHEATHER, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0943100000025,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 12:02:01,2016-04-27 12:02:01,2016-04-26 12:50:03,-0.97,Flooding,,,29.67690952,-95.47123857,WEB
12012116-101002155982,"5826 KULDELL, HOUSTON TX 77074",HARRIS,C,BRAEBURN,0911130000013,SW,SW,TUESDAY,2nd Tuesday,TUESDAY-B,531N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 12:44:14,2016-04-27 12:44:14,2016-04-25 19:55:03,-1.7,Flooding-101002155982,3081307.92713,13811920.95572,29.68124628,-95.49483891,Voice In
12012119-101002155991,"17435 IMPERIAL VALLEY, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1086170000003,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 12:52:17,2016-04-27 12:52:17,2016-04-27 08:00:05,-0.2,Flooding,,,29.94970041,-95.40003829,WEB
12012123-101002156012,"7655 S BRAESWOOD, HOUSTON TX 77071",HARRIS,K,BRAYS OAKS,1063420000017,,,,,,530U,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 13:37:07,2016-04-27 13:37:07,2016-04-26 09:55:04,-1.15,Flooding-101002156012,3075839.49975,13809218.199980002,29.67426637,-95.51230712,Voice In
12012123-101002156015,"7655 S BRAESWOOD, HOUSTON TX 77071",HARRIS,K,BRAYS OAKS,1076330000036,,,,,,530U,HCID #5 (Brays Oaks),PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 13:40:52,2016-04-27 13:40:52,2016-04-24 13:42:06,-3.0,Flooding-101002156015,3076286.4001,13809232.500140002,29.67426903,-95.51089905,Voice In
12012124-101002156021,"770 GREENS, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1088270000011,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 13:43:10,2016-04-27 13:43:10,2016-04-27 07:55:04,-0.24,Flooding-101002156021,3109349.24146,13910524.31429,29.94993341,-95.39700307,Voice In
12012130-101002156034,"9307 WINSOME, HOUSTON TX 77063",HARRIS,F,MID WEST,0942170000016,SW,SW,MONDAY,1st Friday,MONDAY-A,490T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 14:08:17,2016-04-27 14:08:17,2016-04-26 17:30:03,-0.86,Flooding-101002156034,3069911.6786,13831106.4308,29.73491835,-95.52892098,Voice In
12012119-101002156041,"17435 IMPERIAL VALLEY, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1086170000003,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 14:15:47,2016-04-27 14:15:47,2016-04-24 14:15:56,-3.0,Flooding,,,29.94970041,-95.40003829,WEB
12012139-101002156059,"11607 LANGDON, HOUSTON TX 77072",HARRIS,F,ALIEF,1010450000029,SW,SW,MONDAY,1st Wednesday,MONDAY-B,529K,International MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 14:48:41,2016-04-27 14:48:41,2016-04-25 11:35:03,-2.13,Flooding-101002156059,3053173.48307,13814560.631219998,29.69079174,-95.58316384,Voice In
12012141-101002156064,"5658 CARTAGENA, HOUSTON TX 77035",HARRIS,K,WESTBURY,0860210000025,SW,SE,THURSDAY,2nd Thursday,THURSDAY-A,571A,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 14:58:24,2016-04-27 14:58:24,2016-04-25 20:15:04,-1.78,Flooding-101002156064,3084267.7762,13801019.791500002,29.65103653,-95.48655272,Voice In
12012144-101002156076,"6307 DEIRDRE ANNE, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1023160000337,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 15:54:37,2016-04-27 15:54:37,2016-04-25 19:10:03,-1.86,Flooding-101002156076,3081518.19443,13881941.23268,29.87369751,-95.48755504,Voice In
12012143-101002156077,"13843 CANE VALLEY, HOUSTON TX 77044",HARRIS,E,LAKE HOUSTON,1248020030045,,,,,,417D,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 15:54:51,2016-04-27 15:54:50,2016-04-26 19:20:03,-0.86,Flooding-101002156077,3184747.63429,13902117.96759,29.92023226,-95.15991932,Voice In
12012145-101002156081,"12415 BROKEN ARROW, HOUSTON TX 77024",HARRIS,G,MEMORIAL,0952630000011,,,,,,490E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 16:02:02,2016-04-27 16:02:02,2016-04-25 16:45:03,-1.97,Flooding,,,29.77331752,-95.54788076,WEB
12012150-101002156097,"602 OMAR, HOUSTON TX 77009",HARRIS,H,GREATER HEIGHTS,0372950000017,NW,NW,THURSDAY,3rd Wednesday,THURSDAY-A,493B,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 16:49:03,2016-04-27 16:49:03,2016-04-26 07:30:04,-1.39,Flooding-101002156097,3117169.63494,13851820.366739998,29.78791524,-95.37806055,Voice In
12012152-101002156105,"6431 KING POST, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1001760010060,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:07:41,2016-04-27 17:07:41,2016-04-25 19:30:02,-1.9,Flooding-101002156105,3081942.55283,13879737.06189,29.86760391,-95.48642557,Voice In
12012154-101002156107,"6340 W LITTLE YORK, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,0431760000372,,,,,,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:12:07,2016-04-27 17:12:07,2016-04-25 19:30:03,-1.9,Flooding-101002156107,3082976.35162,13879301.334739998,29.8663208,-95.48320662,Voice In
12012153-101002156108,"7111 WOODLAND TRAILS, HOUSTON TX 77040",HARRIS,A,GREATER INWOOD,0992870000042,NW,NW,FRIDAY,4th Monday,FRIDAY-A,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:12:11,2016-04-27 17:12:11,2016-04-25 19:30:03,-1.9,Flooding - 121034,3078488.69979,13882571.37677,29.87545889,-95.49701081,WAP
12012155-101002156111,"12415 BROKEN ARROW, HOUSTON TX 77024",HARRIS,G,MEMORIAL,0952630000011,,,,,,490E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:15:05,2016-04-27 17:15:04,2016-04-25 16:55:03,-2.01,Flooding,,,29.77331752,-95.54788076,WEB
12012160-101002156119,"4210 RICHMEADOW, HOUSTON TX 77048",HARRIS,D,SOUTH ACRES / CRESTMONT PARK,1276360010020,SE,SE,FRIDAY,4th Tuesday,FRIDAY-B,573R,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:35:49,2016-04-27 17:35:48,2016-04-25 20:20:03,-1.89,Flooding-101002156119,3127541.23329,13790913.42261,29.61961266,-95.35136799,Voice In
12012161-101002156120,"5002 BAY CEDAR, HOUSTON TX 77048",HARRIS,D,SOUTH ACRES / CRESTMONT PARK,1023930000043,SE,SE,FRIDAY,4th Tuesday,FRIDAY-B,573M,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:35:52,2016-04-27 17:35:52,2016-04-25 20:25:03,-1.88,Flooding-101002156120,3127722.42485,13796006.99444,29.63359814,-95.35029775,Voice In
12012166-101002156135,"9414 MEADOWGLEN, HOUSTON TX 77063",HARRIS,F,MID WEST,0935570000060,SW,SW,MONDAY,1st Friday,MONDAY-A,490X,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:52:14,2016-04-27 17:52:14,2016-04-26 07:30:04,-1.43,Flooding - 121042,3069328.53661,13830321.75499,29.73281016,-95.53083816,WAP
12012169-101002156137,"838 GREENS, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1147440090010,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 17:55:00,2016-04-27 17:54:59,2016-04-27 08:00:04,-0.41,Flooding-101002156137,3110154.37895,13910558.91265,29.94996028,-95.39445855,Voice In
12012174-101002156149,"2608 SUTHERLAND, HOUSTON TX 77023",HARRIS,I,GULFGATE RIVERVIEW / PINE VALLEY,0600600000258,SE,SE,TUESDAY,3rd Thursday,TUESDAY-A,534G,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 18:02:39,2016-04-27 18:02:39,2016-04-26 11:25:04,-1.28,Flooding,,,29.71260261,-95.31796046,WEB
12012177-101002156159,"645 GREENS, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1146360000002,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 18:22:12,2016-04-27 18:22:11,2016-04-27 15:10:05,-0.13,Flooding - 121046,3108267.2633,13910643.49961,29.95073853,-95.40009752,WAP
12012180-101002156179,"9310 EBLEN, HOUSTON TX 77040",HARRIS,A,GREATER INWOOD,1045290000019,NW,NW,FRIDAY,4th Monday,FRIDAY-A,410R,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 18:59:43,2016-04-27 18:59:43,2016-04-26 12:15:04,-1.28,Flooding,,,29.87758101,-95.50348765,WEB
12009950-101002156193,"16966 NORTHCHASE, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1121130000002,,,,,,372R,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 19:27:54,2016-04-27 19:27:54,2016-04-24 19:28:42,-3.0,Flooding-101002156193,3106793.7213,13909672.078140002,29.94751149,-95.40547314,Voice In
12012217-101002156246,"15503 W HARDY, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1086130000003,,,,,,373T,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-24 23:42:10,2016-04-27 23:42:10,2016-04-27 16:50:05,-0.29,Flooding - 121076,3113330.1248,13907759.274499997,29.94242927,-95.38471305,WAP
12012225-101002156281,"1905 BRITTMOORE, HOUSTON TX 77043",HARRIS,A,SPRING BRANCH WEST,1215730010001,,,,,,449Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 06:02:11,2016-04-28 06:02:11,2016-04-25 16:00:04,-2.58,Flooding - 121082,3055037.02593,13860135.17239,29.81672789,-95.57340484,WAP
12012238-101002156322,"7326 LEY, HOUSTON TX 77028",HARRIS,B,TRINITY / HOUSTON GARDENS,0670930000040,NE,NW,THURSDAY,2nd Tuesday,THURSDAY-A,455J,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:33:46,2016-04-28 07:33:46,2016-04-27 10:15:05,-0.89,Flooding-101002156322,3142686.53436,13868183.95967,29.83069511,-95.29602126,Voice In
12012246-101002156336,"4418 WOODVALLEY, HOUSTON TX 77096",HARRIS,C,WILLOW MEADOWS / WILLOWBEND AREA,0902840000003,SW,SE,THURSDAY,3rd Wednesday,THURSDAY-A,531V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:41:34,2016-04-28 07:41:34,2016-04-25 07:53:04,-2.99,Flooding-101002156336,3095123.90409,13812037.99355,29.68042235,-95.45133623,Voice In
12012248-101002156344,"9410 BRAESHEATHER, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0911640000024,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:46:18,2016-04-28 07:46:17,2016-04-26 10:30:03,-1.89,Flooding-101002156344,3092064.22944,13811146.909699997,29.67822786,-95.46105267,Voice In
12012246-101002156352,"4418 WOODVALLEY, HOUSTON TX 77096",HARRIS,C,WILLOW MEADOWS / WILLOWBEND AREA,0902840000003,SW,SE,THURSDAY,3rd Wednesday,THURSDAY-A,531V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:49:24,2016-04-28 07:49:24,2016-04-25 07:50:01,-3.0,Flooding-101002156352,3095123.90409,13812037.99355,29.68042235,-95.45133623,Voice In
12012249-101002156355,"6319 KING POST, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1001740000049,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411T,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:51:40,2016-04-28 07:51:40,2016-04-26 15:05:04,-1.7,Flooding-101002156355,3082510.56285,13880220.27352,29.86888517,-95.48458842,Voice In
12012250-101002156366,"17418 SUNDROP, HOUSTON TX 77084",HARRIS,A,ADDICKS PARK TEN,1113690000029,NW,NW,FRIDAY,4th Wednesday,FRIDAY-A,447T,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 07:57:05,2016-04-28 07:57:05,2016-04-27 13:20:05,-0.78,Flooding-101002156366,3020347.03101,13852727.12149,29.79830531,-95.68310546,Voice In
12012260-101002156385,"6810 COHN, HOUSTON TX 77091",HARRIS,B,ACRES HOME,0162760220007,NW,NE,TUESDAY,3rd Friday,TUESDAY-B,412Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:04:21,2016-04-28 08:04:21,2016-04-26 13:50:04,-1.76,Flooding-101002156385,3101970.64959,13878484.86492,29.86249281,-95.42338486,Voice In
12012267-101002156404,"5309 SCHUMACHER, HOUSTON TX 77056",HARRIS,G,GREATER UPTOWN,0834950000003,SW,SW,MONDAY,1st Friday,MONDAY-A,491Y,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:12:17,2016-04-28 08:12:17,2016-04-27 18:05:04,-0.59,Flooding - 121117,3089051.26536,13829479.798780002,29.72890432,-95.46886665,WAP
12012268-101002156405,"4958 VALKEITH, HOUSTON TX 77096",HARRIS,C,MEYERLAND AREA,0920350000002,SW,SE,TUESDAY,2nd Wednesday,TUESDAY-B,531U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:12:57,2016-04-28 08:12:56,2016-04-26 10:25:04,-1.91,Flooding-101002156405,3091045.62485,13810063.533260003,29.67533458,-95.4643622,Voice In
12012280-101002156445,"8109 SCHNEIDER, HOUSTON TX 77093",HARRIS,H,EASTEX - JENSEN AREA,0650450060236,NE,NE,MONDAY,2nd Friday,MONDAY-B,453M,Greater Northside MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:31:08,2016-04-28 08:31:08,2016-04-27 13:50:04,-0.78,Flooding-101002156445,3125128.2788,13868383.59247,29.83276137,-95.35135305,Voice In
12012282-101002156452,"6350 OAKNUT, HOUSTON TX 77088",HARRIS,A,GREATER INWOOD,1013150000147,NW,NW,TUESDAY,4th Monday,TUESDAY-B,411S,Near Northwest MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:33:08,2016-04-28 08:33:08,2016-04-25 19:35:03,-2.54,Flooding-101002156452,3081533.73639,13881094.450579997,29.8713687,-95.48758625,Voice In
12012287-101002156468,"5305 CARMEN, HOUSTON TX 77033",HARRIS,D,SUNNYSIDE,0751990260020,SE,SE,FRIDAY,4th Tuesday,FRIDAY-A,574A,HCID #10-A,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:37:29,2016-04-28 08:37:29,2016-04-28 17:55:13,0.39,Flooding-101002156468,3130203.07048,13804598.78992,29.65700171,-95.34164686,Voice In
12012299-101002156501,"12219 HILLCROFT, HOUSTON TX 77035",HARRIS,K,WESTBURY,0871380000001,SW,SW,THURSDAY,2nd Thursday,THURSDAY-A,571E,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:47:52,2016-04-28 08:47:52,2016-04-28 11:20:04,0.11,Flooding-101002156501,3082351.67832,13798817.21848,29.64514013,-95.49279064,Voice In
12012304-101002156515,"501 GREENS, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1121170000001,,,,,,372R,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:56:03,2016-04-28 08:56:03,2016-04-27 18:00:05,-0.62,Flooding-101002156515,3107548.69289,13910893.60752,29.95085578,-95.40279112,Voice In
12012302-101002156516,"14222 WUNDERLICH, UNINCORPORATED TX 77069",HARRIS,,,0440420001022,,,,,,330Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:56:07,2016-04-28 08:56:07,2016-04-30 09:50:15,2.04,Flooding,,,29.9884753,-95.5074033,WEB
12012303-101002156517,"9543 FAIRDALE, HOUSTON TX 77063",HARRIS,F,MID WEST,0911250000015,SW,SW,MONDAY,1st Friday,MONDAY-A,490W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:56:10,2016-04-28 08:56:10,2016-04-27 11:35:04,-0.89,Flooding - 121126,3068106.49613,13829468.843740003,29.73053008,-95.5347627,WAP
12011958-101002156523,"17050 IMPERIAL VALLEY, HOUSTON TX 77060",HARRIS,B,GREATER GREENSPOINT,1087900000001,,,,,,373N,Greater Greenspoint MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4.0,Closed,2016-04-25 08:57:31,2016-04-28 08:57:30,2016-04-25 08:59:26,-3.0,Flooding-101002156523,3110001.60432,13909600.921779998,29.94734015,-95.39503396,Voice In
